doi,pub_date,filename,file_format,num_bytes,total_downloads
10.13012/B2IDB-9154233_V1,2018-04-26,13IL018_C2HVPACXX_s_7_fastq.txt.gz,application/x-gzip,16178661617,438
10.13012/B2IDB-9154233_V1,2018-04-26,15IL006_C7URCANXX_s_6_fastq.txt.gz,application/x-gzip,12299943375,456
10.13012/B2IDB-9154233_V1,2018-04-26,15IL006_Tom.txt,text/plain,7275,307
10.13012/B2IDB-9154233_V1,2018-04-26,15IL007_C7U9MANXX_s_1_fastq.txt.gz,application/x-gzip,13859683862,392
10.13012/B2IDB-9154233_V1,2018-04-26,15IL008_C7U9MANXX_s_2_fastq.txt.gz,application/x-gzip,17321002302,396
10.13012/B2IDB-9154233_V1,2018-04-26,15IL007_Tom.txt,text/plain,25440,332
10.13012/B2IDB-4084515_V1,2016-07-22,141027DAPC-Msi.R,text/plain,3428,391
10.13012/B2IDB-4084515_V1,2016-07-22,150818diversity.R,text/plain,3228,398
10.13012/B2IDB-4084515_V1,2016-07-22,160418pop_stats.R,text/plain,2394,389
10.13012/B2IDB-4084515_V1,2016-07-22,160419TASSEL_results.txt,text/plain,2378381,660
10.13012/B2IDB-4084515_V1,2016-07-22,plotHardinessZones.R,text/plain,2849,384
10.13012/B2IDB-4084515_V1,2016-07-22,140812exportStructure.R,text/plain,1582,387
10.13012/B2IDB-4084515_V1,2016-07-22,150819chloroplast_and_SNP_analysis.R,text/plain,13375,400
10.13012/B2IDB-4084515_V1,2016-07-22,Photo_locations_150810.csv,text/csv,629,419
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsa.hmp.txt,text/plain,18324793,419
10.13012/B2IDB-4084515_V1,2016-07-22,RU2012_chloroplast_results_140813_140922.txt,text/plain,18008,493
10.13012/B2IDB-4084515_V1,2016-07-22,dh_counts_ru.csv,text/plain,1391712,391
10.13012/B2IDB-4084515_V1,2016-07-22,150810photomaps.R,text/plain,639,408
10.13012/B2IDB-4084515_V1,2016-07-22,141010latlong.txt,text/plain,13733,460
10.13012/B2IDB-4084515_V1,2016-07-22,README.txt,text/plain,5179,584
10.13012/B2IDB-4084515_V1,2016-07-22,2012_Collection_of_the_Poaceae_Germplasm_in_Eastern_Russia.pdf,application/pdf,12988342,489
10.13012/B2IDB-4084515_V1,2016-07-22,hapMap2genind.R,text/x-java,922,375
10.13012/B2IDB-4084515_V1,2016-07-22,151019meantemps.R,text/plain,3076,394
10.13012/B2IDB-4084515_V1,2016-07-22,GWASrussia160426_rrBLUP.R,text/plain,14451,396
10.13012/B2IDB-4084515_V1,2016-07-22,2012_Collection_of_Poaceae_Germplasm_in_Eastern_Russia_Book_2.pdf,application/pdf,9081666,577
10.13012/B2IDB-4084515_V1,2016-07-22,160105phenotype.R,text/plain,17511,393
10.13012/B2IDB-4084515_V1,2016-07-22,Dataset_S1-2012_COLLECTION_OF_MISCANTHUS_GERMPLASM_IN_EASTERN_RUSSIA.csv,text/csv,108969,408
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsa.fas.txt,text/plain,4942538,481
10.13012/B2IDB-4084515_V1,2016-07-22,pheno_lat.csv,text/csv,4991,392
10.13012/B2IDB-4084515_V1,2016-07-22,141022RU_positions.csv,text/csv,390293,419
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsi.fas.txt,text/plain,4417454,474
10.13012/B2IDB-4084515_V1,2016-07-22,MiscanthusTagDatabase160224.xlsx,application/vnd.ms-excel,5642759,969
10.13012/B2IDB-4084515_V1,2016-07-22,hapMap2numeric.R,text/plain,1536,377
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsi.hmp.txt,text/plain,33048909,462
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsa.hmc.txt,text/plain,39356577,446
10.13012/B2IDB-4084515_V1,2016-07-22,150810phenotypes_for_R.csv,text/plain,16875,389
10.13012/B2IDB-4084515_V1,2016-07-22,HapMapMsi.hmc.txt,text/plain,73891502,440
10.13012/B2IDB-4475836_V1,2016-12-14,12IL013_key.txt,text/plain,7955,472
10.13012/B2IDB-4475836_V1,2016-12-14,12IL012_key.txt,text/plain,7961,484
10.13012/B2IDB-4475836_V1,2016-12-14,12IL012_D10MRACXX_s_7_fastq.txt.gz,application/x-gzip,18891620589,569
10.13012/B2IDB-4475836_V1,2016-12-14,12IL013_D10MRACXX_s_3_fastq.txt.gz,application/x-gzip,19501152305,657
10.13012/B2IDB-4475836_V1,2016-12-14,12IL011_D10MRACXX_s_1_fastq.txt.gz,application/x-gzip,18939397962,603
10.13012/B2IDB-4475836_V1,2016-12-14,12IL011_key.txt,text/plain,7992,510
10.13012/B2IDB-6530647_V1,2016-12-14,13IL004_key.txt,text/plain,7271,437
10.13012/B2IDB-6530647_V1,2016-12-14,13IL012_key.txt,text/plain,17791,427
10.13012/B2IDB-6530647_V1,2016-12-14,13IL012_D274FACXX_s_7_fastq.txt.gz,application/x-gzip,16684410674,446
10.13012/B2IDB-6530647_V1,2016-12-14,13IL011_D274FACXX_s_6_fastq.txt.gz,application/x-gzip,15768129610,453
10.13012/B2IDB-6530647_V1,2016-12-14,13IL004_C1UPLACXX_s_5_fastq.txt.gz,application/x-gzip,16317150786,430
10.13012/B2IDB-6530647_V1,2016-12-14,13IL011_key.txt,text/plain,17789,425
10.13012/B2IDB-9276024_V1,2016-12-02,pop_num_4week.csv,text/csv,1318,442
10.13012/B2IDB-8561435_V1,2016-12-14,12IL007_C0G97ACXX_s_1_fastq.txt.gz,application/x-gzip,12847823606,414
10.13012/B2IDB-8561435_V1,2016-12-14,12IL006_key.txt,text/plain,7961,479
10.13012/B2IDB-8561435_V1,2016-12-14,12IL007_key.txt,text/plain,7929,434
10.13012/B2IDB-8561435_V1,2016-12-14,12IL004_key.txt,text/plain,7982,432
10.13012/B2IDB-8561435_V1,2016-12-14,12IL005_key.txt,text/plain,7948,435
10.13012/B2IDB-8561435_V1,2016-12-14,12IL004_C0F1MACXX_s_3_fastq.txt.gz,application/x-gzip,12736048781,386
10.13012/B2IDB-8561435_V1,2016-12-14,12IL003_key.txt,text/plain,7944,482
10.13012/B2IDB-8561435_V1,2016-12-14,12IL003_C0F1MACXX_s_2_fastq.txt.gz,application/x-gzip,13661432989,383
10.13012/B2IDB-8561435_V1,2016-12-14,12IL005_C0FW4ACXX_s_1_fastq.txt.gz,application/x-gzip,14801724402,386
10.13012/B2IDB-8561435_V1,2016-12-14,12IL006_C0FW4ACXX_s_2_fastq.txt.gz,application/x-gzip,12885074741,409
10.13012/B2IDB-0094019_V1,2016-12-14,11IL005_key.txt,text/plain,7542,475
10.13012/B2IDB-0094019_V1,2016-12-14,11IL005_D0CR6ACXX_s_7_fastq.txt.gz,application/x-gzip,17448888681,423
10.13012/B2IDB-3782968_V1,2018-12-20,Error_Analysis.xlsx,application/vnd.ms-excel,135258,318
10.13012/B2IDB-1616387_V1,2018-02-22,README.txt,text/plain,2270,360
10.13012/B2IDB-1616387_V1,2018-02-22,data.zip,application/zip,21608011,486
10.13012/B2IDB-7546972_V1,2016-11-28,pcmap.zip,application/zip,93132625,780
10.13012/B2IDB-7735354_V1,2017-09-19,species-trees-rand.tar.gz,application/x-gzip,33167225,472
10.13012/B2IDB-7735354_V1,2017-09-19,gene-trees-full.tar.gz,application/x-gzip,153794884,564
10.13012/B2IDB-7735354_V1,2017-09-19,alignments-rand.tar.gz,application/x-gzip,635271705,603
10.13012/B2IDB-7735354_V1,2017-09-19,alignments-clad.tar.gz,application/x-gzip,223881622,454
10.13012/B2IDB-7735354_V1,2017-09-19,alignments-full.tar.gz,application/x-gzip,494970995,593
10.13012/B2IDB-7735354_V1,2017-09-19,ekm-tw-missing-data-supplement.pdf,application/pdf,511706,586
10.13012/B2IDB-7735354_V1,2017-09-19,species-trees-clad.tar.gz,application/x-gzip,32580913,572
10.13012/B2IDB-7735354_V1,2017-09-19,species-trees-full.tar.gz,application/x-gzip,16989300,589
10.13012/B2IDB-7735354_V1,2017-09-19,gene-trees-clad.tar.gz,application/x-gzip,112685043,616
10.13012/B2IDB-7735354_V1,2017-09-19,gene-trees-rand.tar.gz,application/x-gzip,285639773,573
10.13012/B2IDB-7735354_V1,2017-09-19,README.txt,text/plain,1831,405
10.13012/B2IDB-2031816_V2,2017-09-06,Busycon_spire_angles_for_Data_Bank.xlsx,application/vnd.ms-excel,54377,381
10.13012/B2IDB-3175716_V1,2017-10-11,sorted_bull_file.csv,text/csv,57088,526
10.13012/B2IDB-3175716_V1,2017-10-11,license.txt,text/plain,221,393
10.13012/B2IDB-3175716_V1,2017-10-11,Registry.csv,text/csv,879229,538
10.13012/B2IDB-3175716_V1,2017-10-11,topogrhy.csv,text/csv,8092,455
10.13012/B2IDB-3175716_V1,2017-10-11,MORPH_DX.csv,text/csv,11335,541
10.13012/B2IDB-3175716_V1,2017-10-11,procedure.csv,text/csv,1578,486
10.13012/B2IDB-3175716_V1,2017-10-11,sorted_cats_of_registry.csv,text/csv,499,467
10.13012/B2IDB-3175716_V1,2017-10-11,us_state.csv,text/csv,772,473
10.13012/B2IDB-3175716_V1,2017-10-11,ETIOL_DX.csv,text/csv,4536,511
10.13012/B2IDB-3175716_V1,2017-10-11,McEntee_coll_metadata.xml,text/xml,27566,502
10.13012/B2IDB-3175716_V1,2017-10-11,IRRP_ReadMe_2017-10-11.txt,text/plain,4591,420
10.13012/B2IDB-3175716_V1,2017-10-11,specie.csv,text/csv,125,515
10.13012/B2IDB-3175716_V1,2017-10-11,rr1.csv,text/csv,139181,503
10.13012/B2IDB-3175716_V1,2017-10-11,Sorted_bulls_w_dx.csv,text/csv,68899,519
10.13012/B2IDB-3175716_V1,2017-10-11,BREEDS.csv,text/csv,8995,479
10.13012/B2IDB-3175716_V1,2017-10-11,COUNTYS.csv,text/csv,790,535
10.13012/B2IDB-3175716_V1,2017-10-11,ALL_DOGS.csv,text/csv,273620,518
10.13012/B2IDB-3175716_V1,2017-10-11,COUNTRYS.csv,text/csv,571,530
10.13012/B2IDB-3175716_V1,2017-10-11,sources.csv,text/csv,814,509
10.13012/B2IDB-3175716_V1,2017-10-11,sorted_registry_dogs.csv,text/csv,3261,528
10.13012/B2IDB-3175716_V1,2017-10-11,FoxPro_Registry.xlsx,application/vnd.ms-excel,2733137,522
10.13012/B2IDB-3175716_V1,2017-10-11,CODES.csv,text/csv,1059960,535
10.13012/B2IDB-3175716_V1,2017-10-11,sp_breed.csv,text/csv,334755,534
10.13012/B2IDB-1752285_V1,2016-12-12,WaxLake_Currents_Data_2012-2013.zip,application/zip,2402650,397
10.13012/B2IDB-1001307_V1,2016-12-12,WaxLake_Bathymetry_Data_late2012.zip,application/zip,5507192,467
10.13012/B2IDB-4810873_V1,2016-12-12,WaxLake_Bathymetry_Data_2012-12-01.zip,application/zip,11630445,496
10.13012/B2IDB-4871125_V1,2016-12-12,public_agency_data.zip,application/zip,2390668953,354
10.13012/B2IDB-2011663_V1,2018-01-03,mcc_tree_beast_brueelia.tre,text/plain,313976,479
10.13012/B2IDB-2011663_V1,2018-01-03,mcc_tree_brueelia.tre,text/plain,10818,443
10.13012/B2IDB-2011663_V1,2018-01-03,mcc_tree_brueelia_hosts.tre,text/plain,123061,469
10.13012/B2IDB-2011663_V1,2018-01-03,concatenated_alignment_brueelia.nex,text/plain,597939,431
10.13012/B2IDB-2011663_V1,2018-01-03,random100_trees_brueelia.tre,text/plain,1788446,337
10.13012/B2IDB-2011663_V1,2018-01-03,consensus_tree_brueelia.tre,text/plain,212891,486
10.13012/B2IDB-2011663_V1,2018-01-03,beast_100random_trees_brueelia.tre,text/plain,1981557,476
10.13012/B2IDB-2011663_V1,2018-01-03,beast_parameters_coi_brueelia.xml,text/xml,198356,420
10.13012/B2IDB-1968634_V1,2016-05-26,ReadMe.txt,text/plain,3000,436
10.13012/B2IDB-1968634_V1,2016-05-26,Tracy_CRLPublishingUsersData.csv,text/csv,102845,425
10.13012/B2IDB-6534803_V1,2017-02-21,16IL004_C8BYLANXX_s_4.fastq.txt.gz,application/x-gzip,14113076307,497
10.13012/B2IDB-6534803_V1,2017-02-21,16IL006_C8BYLANXX_s_6.fastq.txt.gz,application/x-gzip,13469017121,481
10.13012/B2IDB-6534803_V1,2017-02-21,15IL010_C820YANXX_s_1_fastq.txt.gz,application/x-gzip,17037045767,386
10.13012/B2IDB-6534803_V1,2017-02-21,16IL001_C8BYLANXX_s_1.fastq.txt.gz,application/x-gzip,13370567166,501
10.13012/B2IDB-6534803_V1,2017-02-21,15IL009_C7U9MANXX_s_3_fastq.txt.gz,application/x-gzip,16111701551,511
10.13012/B2IDB-6534803_V1,2017-02-21,16IL005_C8BYLANXX_s_5.fastq.txt.gz,application/x-gzip,14267920308,477
10.13012/B2IDB-0341890_V1,2017-03-02,PrevspostWRvsSF.xls,application/vnd.ms-excel,141824,646
10.13012/B2IDB-0341890_V1,2017-03-02,04_through_10capturehistoriesSFNFWRNWR.txt,text/plain,26656,464
10.13012/B2IDB-0341890_V1,2017-03-02,Meta_Data_for_SWWA_Survival_and_Body_Condition.docx,application/msword,15656,577
10.13012/B2IDB-4912922_V2,2017-03-07,fc2_save_2016-06-08-144057-0000.avi,video/x-msvideo,1202507456,603
10.13012/B2IDB-4912922_V2,2017-03-07,Code.zip,application/zip,199824304,447
10.13012/B2IDB-2436375_V1,2017-12-12,WAVCIS_data.zip,application/zip,4991443,405
10.13012/B2IDB-3764213_V1,2016-12-12,waxlake-lidar.img,application/octet-stream,157053493,541
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment2_round10.bam,application/x-gzip,132873143,592
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment4_round10.bam,application/x-gzip,672242515,588
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment1_round5.bam,application/x-gzip,169057625,611
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment2_round5.bam,application/x-gzip,531790340,602
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment1_round10.bam,application/x-gzip,339816731,469
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment3_round10.bam,application/x-gzip,664296341,596
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment2_round10.bam,application/x-gzip,247742602,483
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment3_round5.bam,application/x-gzip,327201082,489
10.13012/B2IDB-3958294_V1,2016-12-13,founder.bam,application/x-gzip,115115517,611
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment3_round15.bam,application/x-gzip,461308907,591
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment2_round15.bam,application/x-gzip,400929570,576
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment3_round5.bam,application/x-gzip,699990786,534
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment2_round5.bam,application/x-gzip,137580058,491
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment4_round5.bam,application/x-gzip,934728347,749
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment4_round10.bam,application/x-gzip,1288521087,583
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment4_round15.bam,application/x-gzip,786699774,590
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment3_round10.bam,application/x-gzip,109640313,570
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment1_round10.bam,application/x-gzip,420374962,587
10.13012/B2IDB-3958294_V1,2016-12-13,evolved_liquidculture24h.bam,application/x-gzip,308398706,570
10.13012/B2IDB-3958294_V1,2016-12-13,gal_experiment4_round5.bam,application/x-gzip,764838403,573
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment1_round5.bam,application/x-gzip,283519817,454
10.13012/B2IDB-3958294_V1,2016-12-13,LB_experiment1_round15.bam,application/x-gzip,284576619,573
10.13012/B2IDB-8503612_V1,2017-11-15,Austin_Water_Withdrawal_2000_2014.csv,text/csv,12049,394
10.13012/B2IDB-2204122_V1,2017-02-21,16IL007_C8BYLANXX_s_7.fastq.txt.gz,application/x-gzip,13545998422,559
10.13012/B2IDB-2204122_V1,2017-02-21,16IL002_C8BYLANXX_s_2.fastq.txt.gz,application/x-gzip,11889626226,578
10.13012/B2IDB-2204122_V1,2017-02-21,16IL003_C8BYLANXX_s_3.fastq.txt.gz,application/x-gzip,13332071483,441
10.13012/B2IDB-9706842_V1,2017-05-22,README.txt,text/plain,1797,398
10.13012/B2IDB-9706842_V1,2017-05-22,Nelson_2017_Functional_Ecology_Invertebrates.csv,text/csv,2121,326
10.13012/B2IDB-9706842_V1,2017-05-22,Nelson_2017_Functional_Ecology_Fish_Growth.csv,text/csv,3002,349
10.13012/B2IDB-2059727_V1,2017-06-16,Table_S1.csv,text/csv,22085,386
10.13012/B2IDB-9511904_V1,2016-12-18,model_datasets.zip,application/zip,1929622280,367
10.13012/B2IDB-9511904_V1,2016-12-18,Readme.pdf,application/pdf,123545,497
10.13012/B2IDB-1513733_V2,2017-12-15,Smith_DairyCoinfection_Readme20171214_v2.txt,text/plain,11022,379
10.13012/B2IDB-1513733_V2,2017-12-15,ProductionResultsAfter.csv,text/csv,16122,464
10.13012/B2IDB-1513733_V2,2017-12-15,ProductionResultsBefore.csv,text/csv,16445,434
10.13012/B2IDB-1513733_V2,2017-12-15,DiagnosticResultsAll.csv,text/csv,28512,496
10.13012/B2IDB-3661776_V2,2017-12-04,prices.csv,text/csv,494,508
10.13012/B2IDB-3661776_V2,2017-12-04,readme.txt,text/plain,4572,361
10.13012/B2IDB-3661776_V2,2017-12-04,genotypes.csv,text/csv,35384,499
10.13012/B2IDB-3661776_V2,2017-12-04,structureResults.csv,text/csv,20378,527
10.13012/B2IDB-4912922_V1,2017-03-07,fc2_save_2016-06-08-144057-0000.avi,video/x-msvideo,1202507456,293
10.13012/B2IDB-6946735_V2,2017-03-08,4D.czi,application/octet-stream,188530720,496
10.13012/B2IDB-6946735_V2,2017-03-08,1_cell.czi,application/octet-stream,91565696,479
10.13012/B2IDB-6946735_V2,2017-03-08,4E.czi,application/octet-stream,182732128,531
10.13012/B2IDB-6946735_V2,2017-03-08,5A.czi,application/octet-stream,456223680,500
10.13012/B2IDB-6946735_V2,2017-03-08,5B.czi,application/octet-stream,194886528,450
10.13012/B2IDB-6946735_V2,2017-03-08,6A.czi,application/octet-stream,456223680,512
10.13012/B2IDB-6946735_V2,2017-03-08,6B1.czi,application/octet-stream,182731808,484
10.13012/B2IDB-6946735_V2,2017-03-08,6B2.czi,application/octet-stream,182731008,531
10.13012/B2IDB-6946735_V2,2017-03-08,6C1.czi,application/octet-stream,182730592,475
10.13012/B2IDB-6946735_V2,2017-03-08,6C3.czi,application/octet-stream,182730496,508
10.13012/B2IDB-6946735_V2,2017-03-08,5_cell.czi,application/octet-stream,91564384,510
10.13012/B2IDB-6946735_V2,2017-03-08,7_cell.czi,application/octet-stream,91563808,490
10.13012/B2IDB-6946735_V2,2017-03-08,8_cell.czi,application/octet-stream,91564480,555
10.13012/B2IDB-6946735_V2,2017-03-08,MP_FP.czi,application/octet-stream,91565376,496
10.13012/B2IDB-6946735_V2,2017-03-08,6C2.czi,application/octet-stream,182732608,445
10.13012/B2IDB-6946735_V2,2017-03-08,4_cell.czi,application/octet-stream,91564768,439
10.13012/B2IDB-6946735_V2,2017-03-08,2_cell.czi,application/octet-stream,91565920,478
10.13012/B2IDB-6946735_V2,2017-03-08,readme.txt,text/plain,2120,442
10.13012/B2IDB-6946735_V2,2017-03-08,3_cell.czi,application/octet-stream,91564160,503
10.13012/B2IDB-6946735_V2,2017-03-08,gastrula.czi,application/octet-stream,94608960,476
10.13012/B2IDB-6946735_V2,2017-03-08,tadpole.czi,application/octet-stream,152340384,505
10.13012/B2IDB-6946735_V2,2017-03-08,J1.czi,application/octet-stream,310357120,518
10.13012/B2IDB-6946735_V2,2017-03-08,J2.czi,application/octet-stream,94602144,486
10.13012/B2IDB-6946735_V2,2017-03-08,4A.czi,application/octet-stream,310357344,499
10.13012/B2IDB-6946735_V2,2017-03-08,4B.czi,application/octet-stream,182454944,452
10.13012/B2IDB-6946735_V2,2017-03-08,4C.czi,application/octet-stream,310362176,520
10.13012/B2IDB-0024113_V1,2018-12-13,land_cover_classification.zip,application/zip,483320914,308
10.13012/B2IDB-2211060_V2,2020-03-13,Cocol_atram_mitobim.fasta,text/plain,56708,192
10.13012/B2IDB-2211060_V2,2020-03-13,CocolColiv_voucher.jpg,image/jpeg,9584843,192
10.13012/B2IDB-2211060_V2,2020-03-13,pdhum_contigs.fasta,text/plain,20216,189
10.13012/B2IDB-2211060_V2,2020-03-13,Copas2_atram_mitobim.fasta,text/plain,22624,180
10.13012/B2IDB-2211060_V2,2020-03-13,Copas2_de_novo.fasta,text/plain,13447,191
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_passerinae2_edge_starting_seeds.zip,application/zip,14078,188
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_macrourae_edge_starting_seeds.zip,application/zip,6466,192
10.13012/B2IDB-2211060_V2,2020-03-13,pdhum_denovo.fasta,text/plain,14095,186
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_columbae_mt_sequences.fasta,text/plain,30766,186
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_passerinae1_mt_sequences.fasta,text/plain,34701,186
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_columbae_edge_starting_seeds.zip,application/zip,7247,187
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_passerinae1_edge_starting_seeds.zip,application/zip,6386,184
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_passerinae2_mt_sequences.fasta,text/plain,36527,186
10.13012/B2IDB-2211060_V2,2020-03-13,Columbicola_macrourae_mt_sequences.fasta,text/plain,33604,185
10.13012/B2IDB-2211060_V2,2020-03-13,pdhum_mapped.zip,application/zip,23874,179
10.13012/B2IDB-2211060_V2,2020-03-13,Comac3_atram_mitobim.fasta,text/plain,22542,188
10.13012/B2IDB-2211060_V2,2020-03-13,Copas1_atram_mitobim.fasta,text/plain,20024,191
10.13012/B2IDB-2211060_V2,2020-03-13,readme.txt,text/plain,3238,213
10.13012/B2IDB-5495131_V1,2016-12-19,modules_bymonth.ods,application/vnd.oasis.opendocument.spreadsheet,7764,507
10.13012/B2IDB-5495131_V1,2016-12-19,General_Stats_iOS_Android_ModuleHits.ods,application/vnd.oasis.opendocument.spreadsheet,3532,468
10.13012/B2IDB-5495131_V1,2016-12-19,paths_to_month_cleaned_filtered.ods,application/vnd.oasis.opendocument.spreadsheet,1482590,705
10.13012/B2IDB-5495131_V1,2016-12-19,Readme.txt,text/plain,1578,501
10.13012/B2IDB-0064468_V1,2017-06-01,CHINESE_CHEMISTRY_PHDS_IN_US_1906-1964.xlsx,application/vnd.ms-excel,104321,449
10.13012/B2IDB-0064468_V1,2017-06-01,INTRO_PAGES_for_Database.doc,application/msword,30720,244
10.13012/B2IDB-0064468_V1,2017-06-01,Table_Chinese_PhDs_USA_1906-1964.pdf,application/pdf,910227,385
10.13012/B2IDB-7570206_V1,2017-02-23,16IL020_HFN3YBBXX_s_3_fastq.txt.gz,application/x-gzip,20851263699,598
10.13012/B2IDB-4021048_V1,2017-05-31,Master_File.xlsx,application/vnd.ms-excel,20460,473
10.13012/B2IDB-3605690_V1,2022-09-28,Dataset_Inagaki et al 2022_SciRep.xlsx,"",17907,5
10.13012/B2IDB-5816195_V1,2022-02-14,PumaCaching.csv,"",31675,41
